"","X","name","Sex","Stage","Young","Year","Age"
"1",1,"G004","F","Adult",2,2011,"Yearling"
"2",2,"G004","F","Adult",2,2012,"Yearling"
"3",3,"G004","F","Adult",0,2013,NA
"4",4,"G016","F","Adult",1,2011,"Yearling"
"5",5,"G016","F","Adult",0,2012,NA
"6",6,"G016","F","Adult",-1,2013,NA
"7",7,"G023","F","Adult",0,2010,NA
"8",8,"G023","F","Adult",2,2011,"COY"
"9",9,"G037","F","Adult",2,2010,"Yearling"
"10",10,"G037","F","Adult",0,2011,NA
"11",11,"G037","F","Adult",0,2015,NA
"12",12,"G110","M","Adult",0,2010,NA
"13",13,"G111","F","Adult",0,2010,NA
"14",14,"G111","F","Adult",2,2011,"COY"
"15",15,"G111","F","Adult",2,2012,"Yearling"
"16",16,"G111","F","Adult",2,2013,"Yearling"
"17",17,"G111","F","Adult",0,2014,NA
"18",18,"G113","F","Adult",0,2010,NA
"19",19,"G115","M","Adult",0,2010,NA
"20",20,"G115","M","Adult",0,2011,NA
"21",21,"G117","F","Adult",0,2010,NA
"22",22,"G118","F","Adult",0,2010,NA
"23",23,"G118","F","Adult",0,2011,NA
"24",24,"G119","F","Adult",0,2011,NA
"25",25,"G119","F","Adult",0,2012,NA
"26",26,"G119","F","Adult",-1,2013,NA
"27",27,"G119","F","Adult",0,2014,NA
"28",28,"G120","M","Adult",0,2012,NA
"29",29,"G120","M","Adult",0,2013,NA
"30",30,"G120","M","Adult",0,2015,NA
"31",31,"G126","F","Adult",-1,2013,NA
"32",32,"G127","M","Adult",0,2013,NA
"33",33,"G128","M","Subadult",0,2013,NA
"34",34,"G128","M","Subadult",0,2014,NA
"35",35,"G129","M","Adult",0,2013,NA
"36",36,"G129","M","Adult",0,2014,NA
"37",37,"G131","F","Adult",2,2014,"Yearling"
"38",38,"G131","F","Adult",2,2015,"Yearling"
"39",39,"G132","F","Adult",0,2014,NA
"40",40,"G156","M","Adult",0,2015,NA
"41",41,"G157","M","Adult",0,2015,NA
"42",42,"G160","M","Adult",0,2015,NA
